dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,1.0,1.0,0.0,0.0,0.0,,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
