dataset,num_and_cat,model_score,instance_certainty_clf,dectree_score,ac_score_ablation,ac_score_pure,ac_score_proba,ac_score_shap,ac_score_explan,ac_score_lore,dectree_score_prec,prec_score_ablation,prec_score_pure,prec_score_proba,prec_score_shap,prec_score_explan,prec_score_lore,dectree_score_rec,rec_score_ablation,rec_score_pure,rec_score_proba,rec_score_shap,rec_score_explan,rec_score_lore,dectree_score_f1,f1_score_ablation,f1_score_pure,f1_score_proba,f1_score_shap,f1_score_explan,f1_score_lore
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,0.8333333333333334,0.75,0,0,0.7083333333333334,0.5833333333333334,0.75,0.8571428571428571,0.6666666666666666,0,0,1.0,0.45454545454545453,0.7142857142857143,0.6666666666666666,0.6666666666666666,0,0,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.75,0.6666666666666666,0,0,0.3636363636363636,0.5,0.6250000000000001
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,0.7916666666666666,0.75,0,0,0.75,0.5416666666666666,0.6666666666666666,0.8571428571428571,1.0,0,0,0.7647058823529411,0.6428571428571429,0.6666666666666666,0.8,0.6,0,0,0.8666666666666667,0.6,0.9333333333333333,0.8275862068965518,0.7499999999999999,0,0,0.8125,0.6206896551724138,0.7777777777777778
vehicle,./data/num_and_cat/balanced,0.7688679245283019,1.0,0.8095238095238095,0.7142857142857143,0,0,0.7619047619047619,0.7142857142857143,0.6190476190476191,0.8095238095238095,0.7142857142857143,0,0,0.7619047619047619,0.7142857142857143,0.6190476190476191,0.8095238095238095,0.7142857142857143,0,0,0.7619047619047619,0.7142857142857143,0.6190476190476191,0.8095238095238095,0.7142857142857143,0,0,0.7619047619047619,0.7142857142857143,0.6190476190476191
vehicle,./data/num_and_cat/balanced,0.7688679245283019,0.6,0.8095238095238095,0.6190476190476191,0,0,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.8095238095238095,0.6190476190476191,0,0,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.8095238095238095,0.6190476190476191,0,0,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.8095238095238095,0.6190476190476191,0,0,0.6666666666666666,0.5714285714285714,0.7142857142857143
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.75,0.75,0,0,0.375,0.5625,0.625,0.75,0.75,0,0,0.375,0.5625,0.625,0.75,0.75,0,0,0.375,0.5625,0.625,0.75,0.75,0,0,0.375,0.5625,0.625
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.375,0.5,0,0,0.375,0.1875,0.4375,0.375,0.5,0,0,0.375,0.1875,0.4375,0.375,0.5,0,0,0.375,0.1875,0.4375,0.375,0.5,0,0,0.375,0.1875,0.4375
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,0.6666666666666666,0.625,0,0,0.4166666666666667,0.625,0.3333333333333333,0.6666666666666666,0.625,0,0,0.4166666666666667,0.625,0.3333333333333333,0.6666666666666666,0.625,0,0,0.4166666666666667,0.625,0.3333333333333333,0.6666666666666666,0.625,0,0,0.4166666666666667,0.625,0.3333333333333333
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,0.6666666666666666,0.875,0,0,0.5833333333333334,0.5,0.625,0.6666666666666666,0.875,0,0,0.5833333333333334,0.5,0.625,0.6666666666666666,0.875,0,0,0.5833333333333334,0.5,0.625,0.6666666666666666,0.875,0,0,0.5833333333333334,0.5,0.625
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,0.45,0.6,0,0,0.7,0.7,0.35,0.45,0.6,0,0,0.7,0.7,0.35,0.45,0.6,0,0,0.7,0.7,0.35,0.45,0.6,0,0,0.7,0.7,0.35
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,0.35,0.65,0,0,0.5,0.55,0.35,0.35,0.65,0,0,0.5,0.55,0.35,0.35,0.65,0,0,0.5,0.55,0.35,0.35,0.65,0,0,0.5,0.55,0.35
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,,1.0,1.0,0,0,1.0,,
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,1.0,1.0,0,0,1.0,1.0,,1.0,1.0,0,0,1.0,1.0,,1.0,1.0,0,0,1.0,1.0,,1.0,1.0,0,0,1.0,1.0,
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,0.9230769230769231,0.9230769230769231,0,0,0.0,,,0.9230769230769231,0.9230769230769231,0,0,0.0,,,1.0,1.0,0,0,0.0,,,0.9600000000000001,0.9600000000000001,0,0,0.0,,
