dimensionality,min_cov_lore,min_cov_explan,min_cov_lux,phantom_no_lore,phantom_no_explan,phantom_no_lux,phantom_ratio_lore,phantom_ratio_explan,phantom_ratio_lux,rules_lore,rules_explan,rules_lux
14,0.058823529411764705,0.0,1.3846153846153846,0,3,0,0.0,0.06,0.0,37,50,25
14,0.0,0.0,0.5,7,7,0,0.1590909090909091,0.1111111111111111,0.0,44,63,28
14,0.0,0.0,0.9661016949152542,4,8,0,0.13333333333333333,0.13114754098360656,0.0,30,61,28
14,0.0,0.0,0.4782608695652174,14,10,0,0.5185185185185185,0.10752688172043011,0.0,27,93,27
14,0.0,0.0,0.3333333333333333,4,3,0,0.10810810810810811,0.06382978723404255,0.0,37,47,20
14,0.0,0.0,0.2,4,25,0,0.09523809523809523,0.21008403361344538,0.0,42,119,30
14,0.0,0.0,0.25,3,7,0,0.125,0.10606060606060606,0.0,24,66,28
14,0.0,0.0,1.3333333333333333,6,10,0,0.2608695652173913,0.16393442622950818,0.0,23,61,17
15,0.0,0.0,1.34375,11,8,0,0.24444444444444444,0.09523809523809523,0.0,45,84,21
15,0.0,0.0,0.2972972972972973,3,16,0,0.125,0.2077922077922078,0.0,24,77,16
15,0.0,0.0,1.2857142857142858,8,12,0,0.21052631578947367,0.12903225806451613,0.0,38,93,16
15,0.0,0.0,0.6666666666666666,2,13,0,0.06666666666666667,0.15294117647058825,0.0,30,85,30
15,0.0,0.0,0.2,1,23,0,0.03333333333333333,0.2,0.0,30,115,22
15,0.0,0.0,0.9333333333333333,5,14,0,0.18518518518518517,0.16091954022988506,0.0,27,87,16
15,0.0,0.0,0.5263157894736842,6,8,0,0.15384615384615385,0.10666666666666667,0.0,39,75,24
15,0.0,0.0,2.0,14,21,0,0.25925925925925924,0.17073170731707318,0.0,54,123,23
15,0.0,0.0,0.5,3,19,0,0.06818181818181818,0.15079365079365079,0.0,44,126,32
16,0.0,0.0,1.0,5,9,0,0.15625,0.1267605633802817,0.0,32,71,15
16,0.0,0.0,0.0,4,9,1,0.1,0.11392405063291139,0.03225806451612903,40,79,31
16,0.0,0.0,1.3333333333333333,10,17,0,0.1724137931034483,0.15454545454545454,0.0,58,110,23
16,0.0,0.0,0.7368421052631579,14,20,0,0.4117647058823529,0.18018018018018017,0.0,34,111,22
16,0.0,0.0,0.25,4,21,0,0.1111111111111111,0.16535433070866143,0.0,36,127,27
16,0.0,0.0,1.2,4,6,0,0.10810810810810811,0.06976744186046512,0.0,37,86,34
16,0.0,0.0,1.0833333333333333,6,11,0,0.18181818181818182,0.14473684210526316,0.0,33,76,27
16,0.0,0.0,0.44,16,8,0,0.42105263157894735,0.1,0.0,38,80,30
16,0.0,0.0,1.1176470588235294,11,18,0,0.2558139534883721,0.18,0.0,43,100,20
17,0.0,0.0,1.25,5,16,0,0.11904761904761904,0.16666666666666666,0.0,42,96,28
17,0.0,0.0,0.6666666666666666,6,18,0,0.1276595744680851,0.20454545454545456,0.0,47,88,32
17,0.0,0.0,1.0,7,18,0,0.15555555555555556,0.1935483870967742,0.0,45,93,30
17,0.0,0.0,0.5,5,25,0,0.12195121951219512,0.22522522522522523,0.0,41,111,30
17,0.0,0.0,0.8,8,14,0,0.21052631578947367,0.17073170731707318,0.0,38,82,30
17,0.0,0.0,1.3333333333333333,8,41,0,0.16,0.3178294573643411,0.0,50,129,24
17,0.0,0.0,0.6666666666666666,4,39,0,0.09302325581395349,0.2785714285714286,0.0,43,140,19
17,0.0,0.0,1.2222222222222223,6,14,0,0.17647058823529413,0.14,0.0,34,100,18
17,0.0,0.0,0.5,11,28,0,0.22448979591836735,0.21705426356589147,0.0,49,129,35
18,0.0,0.0,0.8571428571428571,4,32,0,0.10810810810810811,0.24427480916030533,0.0,37,131,21
18,0.0,0.0,1.0,21,23,0,0.3559322033898305,0.2,0.0,59,115,19
18,0.0,0.0,0.5,4,23,0,0.13333333333333333,0.21100917431192662,0.0,30,109,33
18,0.0,0.0,0.6666666666666666,6,8,0,0.11764705882352941,0.10666666666666667,0.0,51,75,22
18,0.0,0.0,0.5,1,27,0,0.02702702702702703,0.226890756302521,0.0,37,119,22
18,0.0,0.0,1.3194444444444444,9,58,0,0.18,0.29743589743589743,0.0,50,195,22
18,0.0,0.0,0.47368421052631576,1,18,0,0.03225806451612903,0.1875,0.0,31,96,35
