dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
mfeat-zernike,./data/num_and_cat/balanced,0.24210236672323515,0.39957055444780526,0.11892999896216616,0.1794971072702523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23744256228370278,0.40114175429097243,0.0975295102442531,0.16909816986928783,0.2543498667635025,0.3918627088580112,0.29796677936442645,0.15317652634479895,0.2442992096042078,0.39731055722484804,0.1624678367336437,0.16865248036373773,0.26448803786882763,0.3867585440765051,0.26646141953236263,0.18193855640926962
cmc,./data/num_and_cat/balanced,0.09937066616704913,0.23752044943147313,0.5204266666666666,0.21641438121221254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11499244608724794,0.23624140459287876,0.5126057142857143,0.2251564098410636,0.12165758992506807,0.23472978941046552,0.6308317460317461,0.17473296131588684,0.12033822187865688,0.23411460511550888,0.5062168253968253,0.22744469587380742,0.1296624124523861,0.22061528824141194,0.380991746031746,0.23593992452376128
credit-approval,./data/num_and_cat/balanced,0.08070889494611722,0.1934247100388259,0.2797295238095238,0.2874414641685434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09944183915214913,0.1903032977680411,0.3533866666666667,0.23373697810430707,0.14364446767825967,0.18569960062823754,0.458727619047619,0.31963136559182237,0.16606319672222797,0.18177361284486365,0.6800514285714285,0.3505270926855383,0.0848569306685601,0.17047527642864763,0.31745079365079365,0.19031475741094012
credit-g,./data/num_and_cat/balanced,0.12577663874968148,0.26845383779820425,0.23248782106782104,0.20411875208361813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12777071077461205,0.26865695527179273,0.16142569874569873,0.20744656257575048,0.12859037690614378,0.269501713521973,0.2696152380952381,0.18509455535898256,0.1394258978266949,0.2653730071253063,0.2442330314130314,0.22721981523856763,0.12726746400104158,0.24138717013632627,0.29285466703231405,0.17851767874313404
diabetes,./data/num_and_cat/balanced,0.06107558531218563,0.18777853713481146,0.2337476190476191,0.24826501279069454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0842554742266816,0.19631881850588995,0.34162095238095236,0.26084445143068863,0.0923895879872097,0.19505538196627253,0.443027619047619,0.22048180432840553,0.11234970514025372,0.19433772014220696,0.4443504761904762,0.2307782089949976,0.10693075926374432,0.1878535419927181,0.4491409523809523,0.2064509492918162
tic-tac-toe,./data/num_and_cat/balanced,0.09033617371871391,0.211326410873161,0.29611365079365076,0.2261845336865727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09787644231146353,0.2115245314911448,0.28329238095238096,0.24580718417550423,0.08455370937373927,0.2093219256286879,0.36684603174603175,0.20163829177015682,0.1023704897943781,0.20842961079674727,0.31414666666666674,0.22306889403187907,0.10340116989445361,0.19779663840937625,0.30451111111111107,0.22989955487411823
vehicle,./data/num_and_cat/balanced,0.11506459066659357,0.2806796403639441,0.17909194805194806,0.21822789043438867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12398445487790728,0.27779956344017426,0.16952553551024138,0.2157752031060857,0.1416060617257336,0.26942536440246145,0.3827367454767455,0.16301530052161192,0.13519176939137062,0.2726531299112698,0.27039370629370635,0.17995946564997067,0.1461245806419383,0.2721508069049544,0.28289421095244627,0.20492215800042918
eucalyptus,./data/num_and_cat/balanced,0.15159603445242556,0.3192274816359755,0.25142920634920635,0.21990449024985456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15571230276935033,0.3185506926681038,0.3028271861471861,0.22639600347149746,0.1617684253753739,0.315255660872252,0.3738718548118548,0.1811931582610668,0.1645610077363276,0.3146333757275358,0.32427196248196244,0.1969732292288015,0.16910936623238632,0.3030222802500235,0.33410832969576004,0.17242254606918997
vowel,./data/num_and_cat/balanced,0.40339062780594936,0.3159502269678826,0.3414590476190476,0.26191093062172555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40532906800819307,0.315405496190883,0.36524730158730156,0.21269267912409595,0.41122023678386666,0.3098577135376987,0.5270530158730158,0.18497386294661688,0.41646818652864853,0.30660835139047277,0.4517784126984126,0.1923598022833573,0.4201791440695624,0.29981656521330735,0.5865412121212121,0.15348567728582582
analcatdata_dmft,./data/num_and_cat/balanced,0.2481822028182281,0.34993898472710194,0.7693333333333333,0.2580129195731614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23384767385221972,0.345464217554035,0.7217333333333334,0.2185327232043547,0.25075009378979024,0.3228236241743146,0.7530666666666666,0.18646279342896624,0.2515576311408328,0.33678950571809746,0.7121333333333333,0.19700395935107498,0.24956744192152122,0.2905818428147095,0.7124,0.20663337366241474
pc4,./data/num_and_cat/balanced,0.272071900689337,0.3211935676138259,0.21643269841269838,0.3726953192836929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28076322627360634,0.3291471178046733,0.17826227106227108,0.297536373451292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25155719150986894,0.2516321936773873,0.29071273382173385,0.23637729653133768
pc3,./data/num_and_cat/balanced,0.5125579881424603,0.06726480933946262,0.07686666666666667,0.21597104114266083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5146605557348463,0.07288191552160873,0.08196,0.20969846754063054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172720564214333,0.06950919268536174,0.15072037551209966,0.20365396404749234
kc2,./data/num_and_cat/balanced,0.13118397747821392,0.25838604823320993,0.021257142857142856,0.11006020290752856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22039654205609854,0.3742261299268468,0.2815453968253968,0.4234572527488678,0.22434989294963822,0.29881770624017895,0.4327749761349762,0.22923132715817662,0.22628756456093613,0.2979716919962672,0.3510308225108225,0.2810304080163567,0.19366634331661825,0.3024350170439982,0.22361510894334424,0.27433941178087623
